Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
99,1786655089344,1299,741,1300,1300,1300,1300,1299,1299,0,10.526315689086914,10,5,15.789472579956055,5.263157844543457,5.263157844543457,10,0,197623.30041503906,44787.20343017578,18700.430419921875,8095244288,4294963200,6298988544,3531550720
99,1786655089444,1299,741,1300,1300,1300,1300,1299,1299,0,10.526315689086914,10,5,15.789472579956055,5.263157844543457,5.263157844543457,10,0,197623.748046875,44787.33728027344,18700.431701660156,8095244288,4294963200,6298984448,3531550720
99,1786655089544,1299,741,1300,1300,1300,1300,1299,1299,10.526315689086914,11.111111640930176,25,5.555555820465088,14.285715103149414,10.526315689086914,10,5.263157844543457,0,197624.169921875,44787.446838378906,18700.43212890625,8095244288,4294963200,6298984448,3531550720
99,1786655089644,1299,741,1300,1300,1300,1300,1299,1299,10.526315689086914,11.111111640930176,25,5.555555820465088,14.285715103149414,10.526315689086914,10,5.263157844543457,0,197624.60748291016,44787.57385253906,18700.432373046875,8095244288,4294963200,6298927104,3531550720
99,1786655089744,1299,741,1300,1300,1300,1300,1299,1299,20,23.809524536132813,15.789472579956055,15.000000953674316,16.666667938232422,38.095237731933594,10.526315689086914,11.111111640930176,0,197625.13012695313,44787.773986816406,18700.437255859375,8095244288,4294963200,6299164672,3531550720
99,1786655089844,1299,741,1300,1300,1300,1300,1299,1299,20,23.809524536132813,15.789472579956055,15.000000953674316,16.666667938232422,38.095237731933594,10.526315689086914,11.111111640930176,0,197625.53564453125,44787.869689941406,18700.438415527344,8095244288,4294963200,6299164672,3531546624
99,1786655089944,1299,741,1300,1300,1300,1300,1299,1299,0,14.285715103149414,10,14.285715103149414,15.000000953674316,10,10,5.263157844543457,0,197625.92138671875,44787.949462890625,18700.438415527344,8095244288,4294963200,6299164672,3531546624
99,1786655090044,1299,741,1300,1300,1300,1300,1299,1299,0,14.285715103149414,10,14.285715103149414,15.000000953674316,10,10,5.263157844543457,0,197626.45513916016,44788.16345214844,18700.441833496094,8095244288,4294963200,6291927040,3531546624
99,1786655090145,1299,741,1300,1300,1300,1300,1299,1299,19.047618865966797,11.111111640930176,20,15.789472579956055,25,20,85.71428680419922,15.789472579956055,0,197626.9595336914,44788.35772705078,18700.441833496094,8095244288,4294963200,6291664896,3531546624
99,1786655090245,1299,741,1300,1300,1300,1300,1299,1299,19.047618865966797,11.111111640930176,20,15.789472579956055,25,20,85.71428680419922,15.789472579956055,0,197627.36163330078,44788.45202636719,18700.44256591797,8095244288,4294963200,6291902464,3531546624
